,X1,Provider Name,DBA Name,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
1,1,Frontier Communications Corporation,Frontier Communications Corporation,CA,060710097082364,11,1,3,0.384,1
2,2,Frontier Communications Corporation,Frontier Communications Corporation,FL,121150021003010,50,1,115,115,1
3,3,"VSAT Systems, LLC",Skycasters,MN,270074501002036,60,1,2,1.3,1
4,4,"Cable One, Inc.",Cable ONE,NM,350430107203016,42,1,1000,50,1
5,5,GCI Communication Corp.,GCI Communication Corp.,VA,518200033001004,60,0,0,0,1
6,6,"HNS License Sub, LLC",HughesNet,WI,550979605004028,60,1,25,3,1
7,7,"VSAT Systems, LLC",Skycasters,CO,080990003001001,60,1,2,1.3,1
8,8,GCI Communication Corp.,GCI Communication Corp.,GA,130630406212009,60,0,0,0,1
9,9,GCI Communication Corp.,GCI Communication Corp.,ND,380499556002004,60,0,0,0,1
10,10,"CenturyLink, Inc.",CenturyLink,TX,483550051021061,12,1,20,1.5,1
11,11,"CenturyLink, Inc.",CenturyLink,WY,560139404001059,11,1,1.5,0.896,1
12,12,"CenturyLink, Inc.",CenturyLink,AZ,040130506061053,50,1,40,20,1
13,13,GCI Communication Corp.,GCI Communication Corp.,TX,482014320011024,60,0,0,0,1
14,14,GCI Communication Corp.,GCI Communication Corp.,ID,160799602006334,60,0,0,0,1
15,15,"ViaSat, Inc.",Viasat Inc,OK,401179572002307,60,1,35,3,1
16,16,Verizon Delaware LLC,Verizon Delaware LLC,DE,100050507052038,10,1,1.5,0.384,1
17,17,Neptuno Media,NeptunoNetworks,PR,721130705033002,70,0,0,0,1
18,18,GCI Communication Corp.,GCI Communication Corp.,CA,060816011005009,60,0,0,0,1
19,19,GCI Communication Corp.,GCI Communication Corp.,OK,400399508001017,60,0,0,0,1
20,20,Verizon New York Inc.,Verizon New York Inc.,NY,360810559001004,50,1,940,880,1
21,21,"HNS License Sub, LLC",HughesNet,UT,490379781001544,60,1,25,3,1
22,22,GCI Communication Corp.,GCI Communication Corp.,CA,060371814002000,60,0,0,0,1
23,23,Crown Castle Fiber LLC,Crown Castle Fiber,NY,361190109032002,50,0,0,0,1
24,24,"HNS License Sub, LLC",HughesNet,OH,390130124003010,60,1,25,3,1
25,25,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,NC,370690603021020,70,1,2,2,0
